CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1641817,Anton Watson,1610612752,NYK,F,24.0,6,6,1.0,4,7,0.571,0.433,0.138
1641936,Miles Norris,1610612738,BOS,F,25.0,3,3,1.0,1,6,0.167,0.421,-0.254
1630164,James Wiseman,1610612754,IND,C,24.0,1,1,1.0,4,6,0.667,0.452,0.215
1641801,Emanuel Miller,1610612741,CHI,F,24.0,2,2,1.0,3,6,0.5,0.437,0.063
1641779,Jalen Bridges,1610612756,PHX,F,24.0,4,4,1.0,1,5,0.2,0.426,-0.226
1629056,Terence Davis,1610612758,SAC,G,28.0,1,1,1.0,2,5,0.4,0.427,-0.027
1642385,Cui Yongxi,1610612751,BKN,F,22.0,2,2,1.0,2,4,0.5,0.435,0.065
1641879,Yuri Collins,1610612744,GSW,G,24.0,2,2,1.0,3,4,0.75,0.521,0.229
1642439,Quincy Olivari,1610612747,LAL,G,24.0,2,2,1.0,2,3,0.667,0.415,0.251
1630296,Braxton Key,1610612744,GSW,F,28.0,1,1,1.0,3,3,1.0,0.385,0.615
1629667,Jalen McDaniels,1610612764,WAS,F,27.0,1,1,1.0,0,3,0.0,0.394,-0.394
1626143,Jahlil Okafor,1610612754,IND,C-F,29.0,1,1,1.0,0,3,0.0,0.513,-0.513
1630227,Daishen Nix,1610612750,MIN,G,23.0,2,2,1.0,1,3,0.333,0.409,-0.075
1631214,Alondes Williams,1610612765,DET,G,25.0,1,1,1.0,0,3,0.0,0.392,-0.392
1642389,Zyon Pullin,1610612763,MEM,G,24.0,2,2,1.0,1,2,0.5,0.457,0.043
1631199,Ron Harper Jr.,1610612765,DET,G-F,25.0,1,1,1.0,0,2,0.0,0.326,-0.326
1642434,Riley Minix,1610612759,SAS,F,24.0,1,1,1.0,0,2,0.0,0.368,-0.368
1642399,Jesse Edwards,1610612750,MIN,C,25.0,1,1,1.0,2,2,1.0,0.43,0.57
1630644,Mac McClung,1610612753,ORL,G,26.0,2,2,1.0,1,2,0.5,0.425,0.076
1627746,Skal Labissiere,1610612758,SAC,F-C,29.0,1,1,1.0,1,1,1.0,0.415,0.585
1630678,Terry Taylor,1610612758,SAC,F,25.0,1,1,1.0,0,1,0.0,0.357,-0.357
