GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022401210,152,1,1,1,8:35 PM,1:04,DiVincenzo 26' 3PT Jump Shot (3 PTS) (Randle 1 AST),,,18 - 32,14,4,1628978,Donte DiVincenzo,1610612750.0,Minnesota,Timberwolves,MIN,4,203944,Julius Randle,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1
0022401210,154,1,6,1,8:35 PM,0:49,,,Reddish 5' Driving Layup (2 PTS),20 - 32,12,5,1629629,Cam Reddish,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,155,6,2,1,8:35 PM,0:49,Reid S.FOUL (P1.T4) (P.Ransom),,,,,4,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,5,1629629,Cam Reddish,1610612747.0,Los Angeles,Lakers,LAL,1,0,,,,,,1
0022401210,157,3,10,1,8:36 PM,0:49,,,Reddish Free Throw 1 of 1 (3 PTS),21 - 32,11,5,1629629,Cam Reddish,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,158,5,45,1,8:36 PM,0:34,Alexander-Walker Out of Bounds - Bad Pass Turnover Turnover (P1.T3),,,,,4,1629638,Nickeil Alexander-Walker,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,0,,,,,,1
0022401210,159,5,2,1,8:36 PM,0:17,DiVincenzo STEAL (1 STL),,Knecht Lost Ball Turnover (P1.T11),,,5,1642261,Dalton Knecht,1610612747.0,Los Angeles,Lakers,LAL,4,1628978,Donte DiVincenzo,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1
0022401210,161,2,2,1,8:36 PM,0:14,MISS DiVincenzo 25' 3PT Running Jump Shot,,,,,4,1628978,Donte DiVincenzo,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
0022401210,162,4,0,1,8:37 PM,0:12,,,Knecht REBOUND (Off:1 Def:1),,,5,1642261,Dalton Knecht,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,163,7,5,1,8:37 PM,0:02,Reid Violation:Kicked Ball (A.Smith),,,,,4,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,0,,,,,,0
0022401210,164,6,1,1,8:37 PM,0:00,Randle P.FOUL (P2.PN) (M.Davis),,,,,4,203944,Julius Randle,1610612750.0,Minnesota,Timberwolves,MIN,5,1630559,Austin Reaves,1610612747.0,Los Angeles,Lakers,LAL,1,0,,,,,,1
