SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400749,2025-02-08T00:00:00,DEN @ PHX,W,28.626666666666665,11,13,0.846,1,2,0.5,3,3,1.0,4,7,11,9,2,0,0,1,4,3,26,19,50.7,1,0,47.0,1,1,1,1,70,32,57,1,42,53,24,45,54,1,14,52,46,41,44,63,34,29,59,55,46,20,59,1,35,61,1,28:38
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400730,2025-02-06T00:00:00,DEN vs. ORL,W,31.116666666666667,11,16,0.688,2,4,0.5,4,6,0.667,0,10,10,12,3,2,0,0,2,3,28,22,61.0,1,1,56.0,1,1,1,1,59,32,46,14,24,32,24,35,32,52,64,31,48,21,31,19,34,1,22,55,33,14,44,1,1,42,1,31:07
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400726,2025-02-05T00:00:00,DEN vs. NOP,W,35.7,15,28,0.536,5,13,0.385,3,3,1.0,2,6,8,10,1,1,1,1,3,3,38,24,67.6,1,0,65.0,1,1,1,1,49,9,9,46,4,2,39,45,54,1,39,59,60,27,58,40,11,29,40,55,12,11,24,1,35,18,1,35:42
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400706,2025-02-03T00:00:00,DEN vs. NOP,W,36.06666666666667,9,13,0.692,1,3,0.333,8,10,0.8,1,13,14,10,1,1,2,0,2,8,27,11,66.8,1,1,58.0,1,1,1,1,46,46,57,12,42,38,41,11,9,31,55,10,22,27,58,40,3,1,22,10,39,27,28,1,1,37,1,36:04
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400688,2025-02-01T00:00:00,DEN @ CHA,W,36.55,9,17,0.529,2,7,0.286,8,9,0.889,1,12,13,17,4,4,1,1,2,5,28,-2,80.1,1,1,70.0,1,1,1,1,45,46,42,48,24,11,47,11,14,21,55,16,33,3,20,2,11,29,22,36,33,54,11,1,1,12,1,36:33
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400681,2025-01-31T00:00:00,DEN @ PHI,W,37.46666666666667,11,16,0.688,2,3,0.667,4,5,0.8,2,7,9,13,6,2,0,0,3,5,28,0,58.3,1,0,56.0,1,1,1,1,36,32,46,14,24,38,10,35,39,31,39,52,54,13,5,19,34,1,40,36,33,50,50,1,35,42,1,37:28
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400668,2025-01-29T00:00:00,DEN @ NYK,L,33.43333333333333,6,15,0.4,3,7,0.429,2,2,1.0,0,6,6,6,2,2,1,0,3,3,17,-3,40.2,0,0,38.0,1,47,47,47,55,63,53,69,9,11,35,54,60,1,64,59,67,61,44,19,11,1,40,55,66,56,67,60,35,67,1,33:26
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400655,2025-01-27T00:00:00,DEN @ CHI,L,39.71666666666667,15,21,0.714,1,4,0.25,2,2,1.0,2,10,12,14,4,1,1,0,1,3,33,1,70.4,1,1,64.0,1,47,47,47,11,9,23,9,42,32,53,54,60,1,39,31,40,11,20,40,11,1,8,55,23,48,21,1,1,22,1,39:43
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400634,2025-01-25T00:00:00,DEN @ MIN,L,32.4,9,13,0.692,2,4,0.5,0,1,0.0,1,2,3,11,7,0,0,0,0,2,20,-24,33.1,1,0,36.0,1,47,47,47,56,46,57,12,24,32,24,68,67,68,55,69,69,22,1,63,34,1,1,67,58,69,69,1,35,69,1,32:24
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400626,2025-01-23T00:00:00,DEN vs. SAC,W,37.38333333333333,12,19,0.632,2,3,0.667,9,10,0.9,3,19,22,17,1,1,2,1,5,6,35,11,94.9,1,1,82.0,1,1,1,1,37,27,32,25,24,38,10,9,9,20,22,1,1,3,58,40,3,29,66,24,17,27,1,1,1,4,1,37:23
