GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-201942-202685-203897-1628370-1631099-,D. DeRozan - J. Valančiūnas - Z. LaVine - M. Monk - K. Murray,1610612758,SAC,58.4,114.0,111.2,2.8,101.14,0.637,0.19,0.66,0.69,0.31,0.159,0.058,0.13,0.406,0.66,0.34,0.395,0.552,0.165,0.088
-1628983-1629652-1630198-1631114-1641717-,S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,1610612760,OKC,58.2,118.0,84.7,33.2,106.77,0.589,0.261,0.481,0.548,0.452,0.053,0.225,0.166,0.424,0.481,0.519,0.262,0.421,0.317,0.191
-201567-1626179-1628389-1629312-1629639-,K. Love - T. Rozier - B. Adebayo - H. Highsmith - T. Herro,1610612748,MIA,58.1,97.5,100.8,-3.3,100.41,0.498,0.173,0.578,0.6,0.4,0.034,0.254,0.127,0.508,0.578,0.422,0.354,0.481,0.196,0.148
-1626157-1628969-1628973-1630173-1630540-,K. Towns - M. Bridges - J. Brunson - P. Achiuwa - M. McBride,1610612752,NYK,57.6,105.8,113.3,-7.5,100.0,0.519,0.167,0.647,0.64,0.36,0.11,0.11,0.11,0.52,0.647,0.353,0.436,0.613,0.147,0.142
-202696-1629632-1630172-1630245-1630581-,N. Vučević - C. White - P. Williams - A. Dosunmu - J. Giddey,1610612741,CHI,57.6,112.7,140.7,-28.0,103.75,0.608,0.185,0.792,0.556,0.444,0.056,0.113,0.113,0.408,0.792,0.208,0.5,0.681,0.177,0.122
-203932-203999-1627750-1631124-1631128-,A. Gordon - N. Jokić - J. Murray - J. Strawther - C. Braun,1610612743,DEN,57.3,137.2,110.5,26.7,102.68,0.692,0.324,0.672,0.676,0.324,0.036,0.211,0.193,0.446,0.672,0.328,0.385,0.518,0.214,0.113
-203114-203507-1626171-1629018-1631260-,K. Middleton - G. Antetokounmpo - B. Portis - G. Trent Jr. - A. Green,1610612749,MIL,57.2,128.5,102.5,26.0,101.88,0.654,0.343,0.632,0.619,0.381,0.114,0.108,0.19,0.43,0.632,0.368,0.364,0.505,0.233,0.142
-1630557-1641731-1642259-1642267-1642273-,C. Kispert - B. Coulibaly - A. Sarr - B. Carrington - K. George,1610612764,WAS,57.2,109.3,126.5,-17.2,111.24,0.626,0.214,0.72,0.476,0.524,0.057,0.163,0.135,0.34,0.72,0.28,0.38,0.581,0.373,0.088
-203552-203995-1628970-1630182-1631109-,S. Curry - V. Micić - M. Bridges - J. Green - M. Williams,1610612766,CHA,56.6,107.4,108.4,-1.0,101.82,0.549,0.173,0.694,0.555,0.445,0.046,0.077,0.123,0.462,0.694,0.306,0.309,0.509,0.198,0.134
-203078-203486-1626145-1626164-1626220-,B. Beal - M. Plumlee - T. Jones - D. Booker - R. O'Neale,1610612756,PHX,56.3,106.7,138.6,-31.9,99.36,0.599,0.263,0.721,0.505,0.495,0.031,0.181,0.157,0.315,0.721,0.279,0.444,0.626,0.299,0.096
