gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022401210,281,PT04M13.00S,2,1610612747,LAL,1629629,Reddish,C. Reddish,0,0,0,,0,,,0,v,Reddish STEAL (1 STL),,,1,0,213
0022401210,283,PT04M07.00S,2,1610612747,LAL,203076,Davis,A. Davis,2,20,2,Made,1,40,37,77,v,Davis 2' Driving Layup (11 PTS),Made Shot,Driving Layup Shot,1,2,214
0022401210,284,PT03M44.00S,2,1610612750,MIN,1629675,Reid,N. Reid,-12,17,2,Made,1,42,37,79,h,Reid 2' Cutting Layup Shot (7 PTS) (DiVincenzo 1 AST),Made Shot,Cutting Layup Shot,1,2,215
0022401210,286,PT03M26.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,4,138,14,Missed,1,,,0,v,MISS Vincent 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,216
0022401210,287,PT03M24.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,217
0022401210,288,PT03M23.00S,2,1610612747,LAL,1629629,Reddish,C. Reddish,76,242,25,Missed,1,,,0,v,MISS Reddish 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,218
0022401210,289,PT03M20.00S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,219
0022401210,290,PT03M20.00S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis Out of Bounds Lost Ball Turnover (P3.T14),Turnover,Out of Bounds Lost Ball Turnover,1,0,220
0022401210,291,PT03M20.00S,2,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,v,SUB: Knecht FOR Christie,Substitution,,0,0,221
0022401210,294,PT03M05.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,SUB: Reaves FOR Vincent,Substitution,,0,0,222
0022401210,296,PT02M57.00S,2,1610612750,MIN,1628978,DiVincenzo,D. DiVincenzo,224,72,24,Missed,1,,,0,h,MISS DiVincenzo 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,223
0022401210,297,PT02M56.00S,2,0,,1610612750,,,0,0,0,,0,,,0,h,TIMBERWOLVES Rebound,Rebound,Unknown,0,0,224
0022401210,298,PT02M56.00S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis L.B.FOUL (P1.PN) (M.Davis),Foul,Loose Ball,1,0,225
0022401210,300,PT02M56.00S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,226
0022401210,301,PT02M56.00S,2,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,43,37,80,h,Randle Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,1,0,227
0022401210,302,PT02M56.00S,2,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,MISS Randle Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,228
0022401210,303,PT02M54.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,Knecht REBOUND (Off:1 Def:7),Rebound,Unknown,1,0,229
0022401210,304,PT02M40.00S,2,1610612750,MIN,1628978,DiVincenzo,D. DiVincenzo,0,0,0,,0,,,0,h,DiVincenzo S.FOUL (P1.T1) (A.Smith),Foul,Shooting,1,0,230
0022401210,306,PT02M40.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,MISS Knecht Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,1,0,231
0022401210,307,PT02M40.00S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Normal Rebound,1,0,232
0022401210,308,PT02M40.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,43,38,81,v,Knecht Free Throw 2 of 3 (6 PTS),Free Throw,Free Throw 2 of 3,1,0,233
0022401210,309,PT02M40.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,MISS Knecht Free Throw 3 of 3,Free Throw,Free Throw 3 of 3,1,0,234
0022401210,310,PT02M38.00S,2,1610612750,MIN,1629675,Reid,N. Reid,0,0,0,,0,,,0,h,Reid REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,235
0022401210,311,PT02M23.00S,2,1610612750,MIN,203944,Randle,J. Randle,44,82,9,Made,1,45,38,83,h,Randle 9' Turnaround Fadeaway (13 PTS),Made Shot,Turnaround Fadeaway shot,1,2,236
0022401210,313,PT02M03.00S,2,1610612747,LAL,1629060,Hachimura,R. Hachimura,6,84,8,Missed,1,,,0,v,MISS Hachimura 8' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,237
0022401210,314,PT02M01.00S,2,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,238
0022401210,315,PT01M55.00S,2,1610612750,MIN,1630183,McDaniels,J. McDaniels,207,136,25,Made,1,48,38,86,h,McDaniels 25' 3PT Step Back Jump Shot (13 PTS) (Edwards 1 AST),Made Shot,Step Back Jump shot,1,3,239
0022401210,317,PT01M49.00S,2,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards P.FOUL (P1.T2) (M.Davis),Foul,Personal,1,0,240
0022401210,319,PT01M40.00S,2,1610612747,LAL,1629060,Hachimura,R. Hachimura,33,18,4,Missed,1,,,0,v,MISS Hachimura 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,241
0022401210,319,PT01M40.00S,2,1610612750,MIN,1629675,Reid,N. Reid,0,0,0,,0,,,0,h,Reid BLOCK (1 BLK),,,1,2,242
0022401210,321,PT01M39.00S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Unknown,0,0,243
0022401210,323,PT01M35.00S,2,1610612747,LAL,203076,Davis,A. Davis,-12,21,2,Made,1,48,40,88,v,Davis 2' Driving Layup (13 PTS) (Reaves 3 AST),Made Shot,Driving Layup Shot,1,2,244
0022401210,325,PT01M18.00S,2,1610612750,MIN,203944,Randle,J. Randle,26,6,3,Made,1,50,40,90,h,Randle 3' Driving Layup (15 PTS) (DiVincenzo 2 AST),Made Shot,Driving Layup Shot,1,2,245
0022401210,327,PT01M06.00S,2,1610612747,LAL,1630559,Reaves,A. Reaves,11,6,1,Missed,1,,,0,v,MISS Reaves 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,246
