GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2021-04-16,HOU,0,1,1,10.89090909090909,10.666666666666666,10.8,9.8,12.0,47.666666666666664,110.71383766152304,0.4428333333333333,0,2.0,1,1,9.714285714285714,16
2021-04-19,MEM,1,1,1,10.982142857142858,12.666666666666666,12.2,10.4,15.0,43.333333333333336,125.65050671049026,0.4056666666666667,1,3.0,1,1,10.5,15
2021-04-21,POR,0,1,1,11.052631578947368,13.666666666666666,12.6,10.9,5.0,42.333333333333336,109.6942273412862,0.4051666666666665,0,2.0,1,1,11.0,9
2021-04-23,GSW,0,1,0,11.017241379310343,13.333333333333334,12.4,11.1,13.0,43.0,106.30870779385631,0.4376666666666667,0,2.0,0,1,10.8,6
2021-04-24,HOU,1,1,1,10.932203389830509,10.0,11.2,10.8,14.0,46.0,92.016588906169,0.4286666666666667,1,1.0,1,1,10.363636363636363,8
2021-04-26,MEM,1,1,1,10.883333333333333,7.666666666666667,10.8,10.8,15.0,45.0,113.01413472558257,0.4362777777777777,1,2.0,1,1,10.166666666666666,15
2021-04-28,NOP,1,1,1,10.950819672131148,9.666666666666666,10.6,11.4,8.0,42.333333333333336,110.1264173074417,0.4262777777777777,1,2.0,1,1,10.538461538461538,7
2021-04-29,TOR,1,1,1,10.887096774193548,10.0,9.0,10.8,10.0,40.0,111.3757355001401,0.3965555555555555,1,1.0,1,1,10.285714285714286,11
2021-05-01,LAC,0,1,1,10.88888888888889,11.0,9.4,10.9,8.0,40.0,105.56750941366327,0.4131111111111111,0,2.0,1,1,10.333333333333334,14
2021-05-03,LAL,0,1,0,10.9375,10.666666666666666,11.0,11.1,12.5,42.0,108.92953200645508,0.4131111111111111,0,2.0,0,1,10.5625,9
2021-05-05,NYK,1,1,1,10.907692307692308,11.333333333333334,11.2,11.0,10.0,49.666666666666664,108.20266943112608,0.4287222222222222,1,2.0,1,1,10.470588235294118,12
