GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_AST,ROLL_3_AST,ROLL_5_AST,ROLL_10_AST,HEAD2HEAD_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FG_PCT,OPP_AST,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,AST
2021-06-13,PHX,1,0,0,7.962962962962963,6.333333333333333,6.8,4.8,7.333333333333333,34.617283950617285,0.5693086419753086,27.666666666666668,122.33970448691878,0.4098333333333334,1,2.0,0,0,,4
2021-10-22,SAS,1,1,1,2.0,,,,9.666666666666666,35.0,0.591,32.0,121.87871581450652,0.4205,1,2.0,1,1,7.84,7
2021-10-25,CLE,1,1,0,4.5,,,,11.0,34.5,0.6639999999999999,29.0,108.93672537508152,0.4258333333333333,1,3.0,0,1,7.8076923076923075,3
2021-10-26,UTA,0,1,0,4.0,4.0,,,9.0,34.666666666666664,0.6426666666666666,17.0,108.6521129581414,0.4160833333333333,0,1.0,0,1,7.62962962962963,6
2021-10-29,DAL,1,1,1,4.5,5.333333333333333,,,6.333333333333333,29.75,0.70425,22.333333333333332,108.88619201726,0.412,1,3.0,1,1,7.571428571428571,8
2021-10-30,MIN,0,1,1,5.2,5.666666666666667,5.2,,7.333333333333333,28.8,0.6746000000000001,23.666666666666668,97.84548699643038,0.4357777777777778,0,1.0,1,1,7.586206896551724,7
2021-11-01,MEM,0,1,0,5.5,7.0,6.2,,6.666666666666667,30.166666666666668,0.6346666666666667,26.0,95.3549848942598,0.4265234899328859,0,2.0,0,1,7.566666666666666,7
2021-11-03,MEM,0,1,0,5.714285714285714,7.333333333333333,6.2,,6.75,30.571428571428573,0.6297142857142858,23.666666666666668,99.52938183668276,0.4221208053691274,0,2.0,0,1,7.548387096774194,5
2021-11-06,HOU,1,1,1,5.625,6.333333333333333,6.6,,12.333333333333334,31.125,0.61975,23.333333333333332,96.49771858428905,0.4505,1,3.0,1,1,7.46875,2
2021-11-08,MIA,1,1,1,5.222222222222222,4.666666666666667,5.8,,7.0,31.666666666666668,0.6175555555555555,24.333333333333332,114.6264819311527,0.3889444444444444,1,2.0,1,1,7.303030303030303,10
2021-11-12,ATL,1,1,1,5.7,5.666666666666667,6.2,5.7,7.0,31.8,0.6272,20.333333333333332,106.50733861540458,0.4277222222222222,1,4.0,1,1,7.382352941176471,10
2021-11-14,POR,1,1,1,6.090909090909091,7.333333333333333,6.8,6.5,4.333333333333333,32.09090909090909,0.6115454545454546,24.666666666666668,108.4321120689655,0.4124444444444445,1,2.0,1,1,7.457142857142857,9
2021-11-15,DAL,0,1,0,6.333333333333333,9.666666666666666,7.2,6.7,6.75,31.75,0.6145,26.666666666666668,114.71626391528646,0.4092222222222222,0,1.0,0,1,7.5,6
2021-11-18,PHI,1,1,0,6.3076923076923075,8.333333333333334,7.4,7.0,8.5,32.15384615384615,0.6116153846153847,21.333333333333332,103.50640593391772,0.4119444444444444,1,3.0,0,1,7.45945945945946,7
2021-11-29,MIA,0,1,1,6.357142857142857,7.333333333333333,8.4,7.1,8.0,32.357142857142854,0.6099285714285714,23.333333333333332,105.04774897680764,0.4072222222222222,0,11.0,1,1,7.447368421052632,7
