GAME_DATE,SEASON,OPPONENT,IS_HOME,DAYS_RESTED,WON_GAME,SEASON_AVG_PTS_MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,MURRAY_OUT,SEASON_AVG_PTS,SEASON_AVG_REB,SEASON_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FGA,SEASON_AVG_FGM,SEASON_AVG_FG_PCT,SEASON_AVG_FG3A,SEASON_AVG_FG3M,SEASON_AVG_FG3_PCT,SEASON_AVG_FTA,SEASON_AVG_FTM,SEASON_AVG_FT_PCT,ROLL_3_PTS,ROLL_3_REB,ROLL_3_AST,ROLL_3_MIN,ROLL_3_FGA,ROLL_3_FGM,ROLL_3_FG_PCT,ROLL_3_FG3A,ROLL_3_FG3M,ROLL_3_FG3_PCT,ROLL_3_FTA,ROLL_3_FTM,ROLL_3_FT_PCT,ROLL_5_PTS,ROLL_5_REB,ROLL_5_AST,ROLL_5_MIN,ROLL_5_FGA,ROLL_5_FGM,ROLL_5_FG_PCT,ROLL_5_FG3A,ROLL_5_FG3M,ROLL_5_FG3_PCT,ROLL_5_FTA,ROLL_5_FTM,ROLL_5_FT_PCT,ROLL_10_PTS,ROLL_10_REB,ROLL_10_AST,ROLL_10_MIN,ROLL_10_FGA,ROLL_10_FGM,ROLL_10_FG_PCT,ROLL_10_FG3A,ROLL_10_FG3M,ROLL_10_FG3_PCT,ROLL_10_FTA,ROLL_10_FTM,ROLL_10_FT_PCT,HEAD2HEAD_AVG_PTS,HEAD2HEAD_AVG_REB,HEAD2HEAD_AVG_AST,HEAD2HEAD_AVG_MIN,HEAD2HEAD_AVG_FGA,HEAD2HEAD_AVG_FGM,HEAD2HEAD_AVG_FG_PCT,HEAD2HEAD_AVG_FG3A,HEAD2HEAD_AVG_FG3M,HEAD2HEAD_AVG_FG3_PCT,HEAD2HEAD_AVG_FTA,HEAD2HEAD_AVG_FTM,HEAD2HEAD_AVG_FT_PCT,OPP_DEF_RATING,OPP_PACE,OPP_PTS,OPP_REB,OPP_AST,OPP_FGA,OPP_FGM,OPP_FG_PCT,OPP_FG3A,OPP_FG3M,OPP_FG3_PCT,OPP_FTA,OPP_FTM,OPP_FT_PCT,PTS,REB,AST
2022-02-12,2021,TOR,0,1.0,1,26.28767123287671,12.602739726027398,7.986301369863014,1,25.775510204081634,13.693877551020408,7.938775510204081,32.91836734693877,17.142857142857142,9.857142857142858,0.5926326530612245,4.285714285714286,1.5918367346938775,0.39869387755102037,5.510204081632653,4.469387755102041,0.791469387755102,23.666666666666668,13.0,9.333333333333334,31.333333333333332,16.333333333333332,9.666666666666666,0.607,5.0,1.0,0.09999999999999999,5.0,3.3333333333333335,0.6546666666666666,23.4,13.4,9.0,31.8,14.2,8.4,0.6042,4.4,1.4,0.31,6.4,5.2,0.7706000000000001,25.2,13.0,9.5,32.2,15.1,8.9,0.6075,4.8,1.8,0.40920000000000006,6.3,5.6,0.8753,19.5,10.5,3.5,29.0,13.5,8.0,0.593,2.5,1.0,0.3335,2.5,2.5,1.0,122.1273801707157,0.4230555555555556,124.0,44.333333333333336,22.666666666666668,89.66666666666667,46.333333333333336,0.5150000000000001,36.333333333333336,14.333333333333334,0.3949999999999999,21.666666666666668,17.0,0.8243333333333333,28,15,6
2022-02-14,2021,ORL,1,2.0,1,26.31081081081081,12.635135135135135,7.95945945945946,1,25.82,13.72,7.9,32.96,17.12,9.86,0.5932799999999999,4.24,1.56,0.39071999999999996,5.6,4.54,0.7916399999999999,24.0,14.0,8.0,33.0,16.666666666666668,9.0,0.5486666666666666,5.0,1.0,0.09999999999999999,7.0,5.0,0.6713333333333334,24.8,13.2,8.6,32.8,15.0,9.2,0.6292,4.0,1.2,0.26,6.6,5.2,0.7528,24.6,13.6,9.3,32.1,14.8,8.7,0.6068,4.4,1.7,0.39249999999999996,6.3,5.5,0.8653000000000001,21.0,13.0,11.0,36.666666666666664,15.666666666666666,7.666666666666667,0.49,3.3333333333333335,0.6666666666666666,0.16666666666666666,6.0,5.0,0.8593333333333334,103.8935500786576,0.4237777777777777,105.66666666666669,44.666666666666664,27.333333333333332,87.0,39.333333333333336,0.4513333333333333,38.0,15.666666666666666,0.4123333333333334,16.0,11.333333333333334,0.7223333333333333,26,15,7
2022-02-16,2021,GSW,0,2.0,1,26.30666666666667,12.666666666666666,7.946666666666666,1,25.823529411764707,13.745098039215685,7.882352941176471,33.0,17.294117647058822,9.862745098039216,0.5891960784313726,4.333333333333333,1.588235294117647,0.38958823529411757,5.549019607843137,4.509803921568627,0.7957254901960783,25.666666666666668,15.333333333333334,8.0,34.666666666666664,20.666666666666668,9.666666666666666,0.48666666666666664,7.0,2.0,0.211,5.666666666666667,4.333333333333333,0.7666666666666666,25.0,13.8,8.2,32.8,18.2,9.8,0.5662,5.2,1.2,0.1266,5.6,4.2,0.7528,24.4,13.0,9.1,32.2,15.4,8.8,0.6003,4.5,1.7,0.3883,5.9,5.1,0.8653000000000001,22.75,12.75,7.25,35.25,18.0,8.25,0.45875,4.25,0.25,0.05,7.0,6.0,0.875,110.50270484232747,0.4210555555555555,111.66666666666669,42.0,24.666666666666668,89.0,40.333333333333336,0.4530000000000001,41.333333333333336,14.333333333333334,0.3463333333333333,21.333333333333332,16.666666666666668,0.7953333333333332,35,17,8
2022-02-24,2021,SAC,0,8.0,1,26.42105263157895,12.723684210526315,7.947368421052632,1,26.0,13.807692307692308,7.884615384615385,33.01923076923077,17.423076923076923,9.923076923076923,0.5882884615384616,4.346153846153846,1.6153846153846154,0.39363461538461536,5.615384615384615,4.538461538461538,0.7932499999999999,29.666666666666668,15.666666666666666,7.0,34.666666666666664,22.0,11.0,0.5173333333333333,5.333333333333333,2.0,0.311,7.333333333333333,5.666666666666667,0.8223333333333334,26.6,14.8,7.8,33.6,20.0,10.0,0.5146,5.8,1.8,0.2466,6.6,4.8,0.7362000000000001,25.3,13.7,9.1,32.1,16.5,9.3,0.593,4.8,1.8,0.34829999999999994,6.0,4.9,0.8320000000000001,34.5,10.75,11.25,39.0,21.25,13.25,0.6275,4.25,2.0,0.45825,7.75,6.0,0.79175,108.17626758693922,0.4185555555555555,108.66666666666669,40.333333333333336,21.0,83.33333333333333,39.0,0.4739999999999999,31.0,11.0,0.362,23.0,19.666666666666668,0.8496666666666667,25,12,9
2022-02-26,2021,SAC,1,2.0,1,26.4025974025974,12.714285714285714,7.961038961038961,1,25.9811320754717,13.773584905660377,7.90566037735849,33.0377358490566,17.37735849056604,9.90566037735849,0.5885094339622642,4.339622641509434,1.6226415094339623,0.3956415094339622,5.6415094339622645,4.547169811320755,0.791754716981132,28.666666666666668,14.666666666666666,8.0,34.333333333333336,21.666666666666668,10.666666666666666,0.509,6.0,2.6666666666666665,0.47766666666666663,6.333333333333333,4.666666666666667,0.7936666666666667,27.4,15.0,8.2,34.4,20.2,10.2,0.5204,6.0,2.2,0.3466,6.6,4.8,0.7362000000000001,24.9,13.6,9.0,32.5,16.1,9.1,0.5951,4.6,1.7,0.34829999999999994,6.3,5.0,0.8033999999999999,32.6,11.0,10.8,38.0,20.0,12.4,0.6219999999999999,4.2,2.0,0.4666,7.6,5.8,0.7762,101.78199791883456,0.4271111111111111,104.33333333333331,37.666666666666664,20.333333333333332,86.66666666666667,39.0,0.4519999999999999,31.333333333333332,10.0,0.3223333333333333,19.333333333333332,16.333333333333332,0.84,18,10,11
2022-02-27,2021,POR,0,1.0,1,26.294871794871796,12.679487179487179,8.0,1,25.833333333333332,13.703703703703704,7.962962962962963,33.05555555555556,17.35185185185185,9.833333333333334,0.5845555555555556,4.351851851851852,1.5925925925925926,0.3883148148148148,5.685185185185185,4.574074074074074,0.7909814814814814,26.0,13.0,9.333333333333334,34.0,18.333333333333332,9.333333333333334,0.5056666666666666,4.666666666666667,1.6666666666666667,0.3666666666666667,8.0,5.666666666666667,0.7103333333333334,26.4,13.8,8.2,34.4,19.4,9.6,0.5054,5.0,1.6,0.28659999999999997,7.4,5.6,0.7862,24.9,13.6,8.6,33.1,16.8,9.0,0.5548,4.7,1.5,0.29829999999999995,6.9,5.4,0.7784,30.272727272727273,8.818181818181818,5.0,32.45454545454545,21.454545454545453,11.727272727272727,0.5643636363636364,5.0,2.090909090909091,0.4318181818181818,5.090909090909091,4.7272727272727275,0.9074545454545454,110.31797534068784,0.4280555555555556,113.33333333333331,44.0,23.0,87.66666666666667,39.666666666666664,0.451,36.666666666666664,13.333333333333334,0.3606666666666667,26.666666666666668,20.666666666666668,0.7716666666666666,8,18,11
2022-03-02,2021,OKC,1,3.0,0,26.063291139240505,12.746835443037975,8.037974683544304,1,25.509090909090908,13.781818181818181,8.018181818181818,32.92727272727273,17.12727272727273,9.709090909090909,0.5848363636363637,4.290909090909091,1.5636363636363637,0.3812545454545454,5.618181818181818,4.527272727272727,0.794781818181818,17.0,13.333333333333334,10.333333333333334,31.333333333333332,12.0,6.0,0.525,3.3333333333333335,0.6666666666666666,0.16666666666666663,5.666666666666667,4.333333333333333,0.8213333333333334,22.4,14.4,9.2,32.6,17.2,8.2,0.5004,4.8,1.6,0.28659999999999997,5.8,4.4,0.8262,23.6,13.8,8.9,32.7,16.1,8.7,0.5648,4.4,1.4,0.2733,6.2,4.8,0.7895,20.6,12.2,7.4,30.6,15.4,8.4,0.5741999999999999,4.0,1.0,0.2738,2.8,2.8,1.0,105.44761436301032,0.4366174496644295,114.33333333333331,44.666666666666664,24.333333333333332,93.33333333333331,44.666666666666664,0.4776666666666666,32.333333333333336,9.333333333333334,0.2876666666666667,20.666666666666668,15.666666666666666,0.7876666666666666,22,16,4
2022-03-06,2021,NOP,1,4.0,1,26.0125,12.7875,7.9875,1,25.446428571428573,13.821428571428571,7.946428571428571,32.92857142857143,17.125,9.714285714285714,0.5848928571428572,4.285714285714286,1.5357142857142858,0.37444642857142857,5.553571428571429,4.482142857142857,0.7984464285714284,16.0,14.666666666666666,8.666666666666666,31.0,12.666666666666666,6.333333333333333,0.521,3.3333333333333335,0.0,0.0,4.0,3.3333333333333335,0.9166666666666666,21.6,14.6,8.6,32.2,15.4,8.2,0.541,3.8,1.0,0.22000000000000003,5.6,4.2,0.8262,23.3,14.2,8.4,32.5,16.8,9.0,0.5536,4.5,1.1,0.17329999999999998,5.6,4.2,0.7895,31.833333333333332,9.833333333333334,9.5,35.666666666666664,20.166666666666668,12.833333333333334,0.6448333333333333,4.166666666666667,2.3333333333333335,0.5583333333333333,4.833333333333333,3.8333333333333335,0.551,115.04189386886551,0.4177222222222222,115.33333333333331,47.0,24.0,91.33333333333331,43.0,0.4696666666666667,31.0,10.666666666666666,0.3466666666666667,26.333333333333332,18.666666666666668,0.7176666666666667,46,12,11
2022-03-07,2021,GSW,1,1.0,1,26.25925925925926,12.777777777777779,8.024691358024691,1,25.80701754385965,13.789473684210526,8.0,33.10526315789474,17.210526315789473,9.824561403508772,0.5873859649122807,4.298245614035087,1.5614035087719298,0.37840350877192985,5.666666666666667,4.5964912280701755,0.8005263157894736,25.333333333333332,15.333333333333334,8.666666666666666,34.0,14.666666666666666,9.666666666666666,0.6383333333333333,3.3333333333333335,1.0,0.19999999999999996,5.333333333333333,5.0,0.9723333333333333,23.8,13.6,9.2,34.0,15.0,8.8,0.578,3.8,1.0,0.22000000000000003,6.2,5.2,0.8762000000000001,25.2,14.2,8.5,33.8,17.5,9.4,0.5463,4.8,1.4,0.2333,6.4,5.0,0.8061999999999999,25.2,13.6,7.4,35.0,19.2,9.2,0.47539999999999993,4.4,0.8,0.16,7.4,6.0,0.8333999999999999,111.81379580127783,0.4260555555555556,114.33333333333331,39.333333333333336,24.666666666666668,87.66666666666667,43.666666666666664,0.4996666666666668,36.333333333333336,14.333333333333334,0.4099999999999999,18.0,12.666666666666666,0.7023333333333333,32,15,13
2022-03-09,2021,SAC,0,2.0,1,26.329268292682926,12.804878048780488,8.085365853658537,1,25.913793103448278,13.810344827586206,8.086206896551724,33.13793103448276,17.20689655172414,9.862068965517242,0.5894310344827587,4.224137931034483,1.5344827586206897,0.37187931034482763,5.810344827586207,4.655172413793103,0.7965689655172412,33.333333333333336,14.333333333333334,9.333333333333334,37.0,18.666666666666668,12.666666666666666,0.6736666666666666,3.0,1.0,0.19999999999999996,9.333333333333334,7.0,0.8293333333333334,25.2,14.2,10.0,34.2,15.4,9.4,0.5992,3.0,0.6,0.12,7.6,5.8,0.8475999999999999,26.3,14.6,9.1,34.3,17.8,9.8,0.5598,4.5,1.4,0.2333,7.1,5.3,0.7919,30.166666666666668,10.833333333333334,10.833333333333334,37.333333333333336,19.333333333333332,11.333333333333334,0.5808333333333332,4.333333333333333,1.6666666666666667,0.38883333333333336,7.666666666666667,5.833333333333333,0.7718333333333334,109.99230374551053,0.433111111111111,114.33333333333331,44.666666666666664,24.333333333333332,86.33333333333333,41.333333333333336,0.4786666666666666,29.666666666666668,10.0,0.3389999999999999,28.666666666666668,21.666666666666668,0.7443333333333332,38,18,7
2022-03-10,2021,GSW,1,1.0,0,26.46987951807229,12.867469879518072,8.072289156626505,1,26.11864406779661,13.88135593220339,8.067796610169491,33.16949152542373,17.322033898305083,9.94915254237288,0.5900338983050848,4.186440677966102,1.5084745762711864,0.3655762711864407,5.864406779661017,4.711864406779661,0.7981355932203389,38.666666666666664,15.0,10.333333333333334,37.666666666666664,21.0,14.333333333333334,0.6859999999999999,2.3333333333333335,1.0,0.19999999999999996,11.666666666666666,9.0,0.7923333333333332,29.2,15.8,9.2,34.4,17.0,11.2,0.6491999999999999,2.4,0.6,0.12,7.8,6.2,0.8754,27.8,14.8,8.7,34.4,18.2,10.4,0.5772999999999999,3.7,1.1,0.20329999999999998,7.6,5.9,0.8308,26.333333333333332,13.833333333333334,8.333333333333334,35.0,18.833333333333332,9.666666666666666,0.5138333333333334,3.6666666666666665,0.6666666666666666,0.13333333333333333,8.5,6.333333333333333,0.7896666666666666,112.3882503192848,0.4349999999999999,117.33333333333331,44.333333333333336,28.0,90.66666666666669,45.0,0.4963333333333334,36.0,15.0,0.4159999999999999,18.333333333333332,12.333333333333334,0.6863333333333332,23,12,9
2022-03-12,2021,TOR,1,2.0,0,26.428571428571427,12.857142857142858,8.083333333333334,1,26.066666666666666,13.85,8.083333333333334,33.15,17.383333333333333,9.933333333333334,0.5873500000000001,4.25,1.4833333333333334,0.3594833333333334,5.866666666666666,4.716666666666667,0.7987166666666666,31.0,15.0,9.666666666666666,34.0,20.666666666666668,12.0,0.5866666666666667,3.3333333333333335,0.0,0.0,9.666666666666666,7.0,0.7643333333333334,32.2,14.6,8.8,35.6,20.2,12.4,0.615,3.8,0.6,0.12,8.6,6.8,0.842,27.3,14.5,9.0,34.1,18.7,10.3,0.5577,4.3,1.1,0.20329999999999998,7.2,5.6,0.8341000000000001,22.333333333333332,12.0,4.333333333333333,31.0,14.333333333333334,8.666666666666666,0.6036666666666667,2.3333333333333335,0.6666666666666666,0.22233333333333336,5.0,4.333333333333333,0.9333333333333332,111.03678929765888,0.4152777777777778,110.66666666666669,46.666666666666664,16.0,91.0,40.0,0.441,28.666666666666668,10.333333333333334,0.3516666666666665,25.0,20.333333333333332,0.8163333333333335,26,10,7
2022-03-14,2021,PHI,0,2.0,1,26.423529411764704,12.823529411764707,8.070588235294117,1,26.065573770491802,13.78688524590164,8.065573770491802,33.114754098360656,17.311475409836067,9.918032786885245,0.589065573770492,4.180327868852459,1.459016393442623,0.35359016393442627,5.918032786885246,4.770491803278689,0.8001967213114753,29.0,13.333333333333334,7.666666666666667,32.666666666666664,19.333333333333332,11.0,0.582,3.3333333333333335,0.0,0.0,8.0,7.0,0.8703333333333333,33.0,13.4,9.4,35.2,19.4,12.2,0.6358,3.0,0.6,0.12,10.0,8.0,0.8198000000000001,27.3,14.0,9.0,33.7,17.4,10.2,0.5884,3.4,0.8,0.17,7.8,6.1,0.8230000000000001,22.0,9.666666666666666,8.0,32.666666666666664,13.0,8.0,0.6363333333333333,1.6666666666666667,1.0,0.25,6.0,5.0,0.8703333333333333,107.51659009698824,0.4207248322147651,112.33333333333331,44.333333333333336,23.0,89.66666666666667,35.333333333333336,0.3969999999999999,34.333333333333336,13.333333333333334,0.389,33.666666666666664,28.333333333333332,0.842,22,13,8
2022-03-16,2021,WAS,0,2.0,1,26.372093023255815,12.825581395348838,8.069767441860465,1,26.0,13.774193548387096,8.064516129032258,33.12903225806452,17.29032258064516,9.887096774193548,0.5876290322580646,4.161290322580645,1.4516129032258065,0.35325806451612907,5.935483870967742,4.774193548387097,0.7988064516129032,23.666666666666668,11.666666666666666,8.0,32.333333333333336,16.666666666666668,8.666666666666666,0.5403333333333333,3.6666666666666665,0.3333333333333333,0.11099999999999997,7.333333333333333,6.0,0.8119999999999999,28.2,13.6,8.8,33.4,18.2,10.6,0.5904,2.6,0.2,0.0666,9.0,6.8,0.7792,26.0,13.6,9.0,33.7,16.6,9.7,0.5842,3.2,0.6,0.1433,7.6,6.0,0.8276999999999999,28.333333333333332,12.333333333333334,8.333333333333334,35.333333333333336,17.666666666666668,10.0,0.5713333333333334,3.6666666666666665,2.3333333333333335,0.6166666666666667,6.666666666666667,6.0,0.9393333333333334,115.1025397256553,0.4090555555555555,113.0,39.0,25.0,83.33333333333333,40.0,0.4803333333333334,29.0,11.0,0.3766666666666666,27.666666666666668,22.0,0.8043333333333335,29,13,8
