TEAM,level_1,PTS,REB,AST,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,TOV,MIN,DATE,DEF_RATING,PACE
New,1895,113.33333333333333,37.666666666666664,28.666666666666668,82.33333333333333,43.0,0.5216666666666668,31.333333333333332,12.0,0.3806666666666667,19.666666666666668,15.333333333333334,0.782,5.666666666666667,13.0,240.0,"JAN 01, 2025",115.26986710062381,0.4096666666666666
New,462,111.33333333333333,40.0,26.0,85.0,43.333333333333336,0.5103333333333334,29.666666666666668,9.0,0.3123333333333334,20.666666666666668,15.666666666666666,0.7553333333333333,7.333333333333333,11.666666666666666,240.0,"JAN 03, 2025",113.11297751286912,0.41011111111111115
New,1896,115.66666666666667,36.666666666666664,27.666666666666668,88.66666666666667,43.666666666666664,0.49266666666666675,35.666666666666664,12.0,0.32833333333333337,20.333333333333332,16.333333333333332,0.7959999999999999,9.666666666666666,9.666666666666666,240.0,"JAN 03, 2025",118.49474115557985,0.40672222222222226
New,463,121.66666666666667,42.666666666666664,28.333333333333332,94.33333333333333,46.333333333333336,0.4910000000000001,34.333333333333336,11.666666666666666,0.329,22.333333333333332,17.333333333333332,0.77,14.0,10.666666666666666,240.0,"JAN 04, 2025",120.66913514943138,0.4201111111111111
New,1897,122.66666666666667,45.0,29.666666666666668,94.33333333333333,44.333333333333336,0.46866666666666673,40.0,14.666666666666666,0.35766666666666674,23.333333333333332,19.333333333333332,0.8346666666666667,14.0,10.333333333333334,240.0,"JAN 05, 2025",121.53236459709382,0.4205555555555555
New,464,110.0,45.333333333333336,23.0,89.33333333333333,40.333333333333336,0.45,33.666666666666664,10.0,0.272,23.333333333333332,19.333333333333332,0.8346666666666667,13.333333333333334,12.0,240.0,"JAN 06, 2025",111.94029850746269,0.40944444444444444
New,1898,100.33333333333333,44.333333333333336,21.666666666666668,88.33333333333333,36.0,0.4090000000000001,37.333333333333336,11.333333333333334,0.2806666666666667,22.0,17.0,0.781,11.666666666666666,12.333333333333334,240.0,"JAN 07, 2025",101.67544926361303,0.41116666666666657
New,465,101.0,42.333333333333336,21.0,87.66666666666667,37.666666666666664,0.43100000000000005,32.0,9.333333333333334,0.2796666666666667,22.0,16.333333333333332,0.7476666666666668,13.0,12.666666666666666,240.0,"JAN 08, 2025",104.10940076965365,0.4042222222222222
New,1899,103.0,43.333333333333336,22.0,90.66666666666667,39.0,0.43100000000000005,37.0,12.0,0.327,18.333333333333332,13.0,0.7173333333333334,15.333333333333334,14.333333333333334,240.0,"JAN 08, 2025",105.38881309686221,0.4072222222222222
New,466,104.33333333333333,42.333333333333336,20.333333333333332,91.33333333333333,39.666666666666664,0.4353333333333334,33.666666666666664,9.333333333333334,0.27233333333333337,18.0,15.666666666666666,0.8423333333333334,16.333333333333332,13.0,240.0,"JAN 10, 2025",108.77119822073949,0.39966666666666667
